"","date","port.ret"
"1",feb 2010,-0.0114273841678787
"2",mar 2010,0.0846252750785055
"3",abr 2010,0.0596083482463439
"4",may 2010,-0.0424212434313499
"5",jun 2010,-0.0303593695586236
"6",jul 2010,0.0547300859067712
"7",ago 2010,0.0633248570659666
"8",sep 2010,0.00951411880768771
"9",oct 2010,-0.0356410112100856
"10",nov 2010,0.00849413474955307
"11",dic 2010,-0.0564434670987564
"12",ene 2011,-0.0553594825903934
"13",feb 2011,-0.0217381039509874
"14",mar 2011,0.0125616164785241
"15",abr 2011,0.0639118129003426
"16",may 2011,0.0740012657448013
"17",jun 2011,-0.0488412840783464
"18",jul 2011,-0.0137556332854526
"19",ago 2011,-0.0813557249192559
"20",sep 2011,0.0460503225337965
"21",oct 2011,0.0445089781562384
"22",nov 2011,-0.00880049623943557
"23",dic 2011,0.0341120529253671
"24",ene 2012,0.00632719885018962
"25",feb 2012,0.0678031625010067
"26",mar 2012,0.00672791178289667
"27",abr 2012,-0.0355075395457792
"28",may 2012,-0.0267889509171318
"29",jun 2012,0.14642764022583
"30",jul 2012,0.0173824652930883
"31",ago 2012,-0.0480720099273696
"32",sep 2012,-0.0475809350363039
"33",oct 2012,-0.016213196998898
"34",nov 2012,-0.0383059256796502
"35",dic 2012,0.039831716449664
"36",ene 2013,0.043206056111097
"37",feb 2013,-0.00896779634423794
"38",mar 2013,0.000430430975198348
"39",abr 2013,0.0274120963354927
"40",may 2013,-0.00349453437495484
"41",jun 2013,-0.033333816362117
"42",jul 2013,0.101630972487333
"43",ago 2013,0.0028848116481075
"44",sep 2013,0.146200152871312
"45",oct 2013,0.00322382076030081
"46",nov 2013,-0.00714277285903642
"47",dic 2013,0.0654684324577006
"48",ene 2014,-0.0465917836945486
"49",feb 2014,0.024081397072014
"50",mar 2014,-0.0456440858044836
"51",abr 2014,-0.0061848841431541
"52",may 2014,0.0679753152842073
"53",jun 2014,0.0325311758668527
"54",jul 2014,-0.0311639795517107
"55",ago 2014,0.0509010278670352
"56",sep 2014,0.00740266567487624
"57",oct 2014,-0.0193681908703972
"58",nov 2014,0.0875062897521386
"59",dic 2014,0.0194097518108223
"60",ene 2015,0.0472984225151594
"61",feb 2015,0.0668626766272151
"62",mar 2015,-0.039307142210026
"63",abr 2015,-0.021561964791453
"64",may 2015,0.011736760778388
"65",jun 2015,-0.0505663554733354
"66",jul 2015,0.0751879699248121
"67",ago 2015,-0.0507000532829204
"68",sep 2015,-0.0616939434971634
"69",oct 2015,0.0870148567720654
"70",nov 2015,-0.0264831068371685
"71",dic 2015,-0.0661501464290162
